               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.055313,            0.045774,                   0,             0.86956,             0.65128,             0.72229,             0.38791,            0.049688,             0.04225,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.055542,            0.046345,                   0,             0.85929,             0.66139,             0.72586,             0.38862,            0.049588,            0.042212,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.054963,            0.045287,                   0,             0.86481,             0.65964,              0.7267,             0.39063,             0.04948,            0.042155,                   0,           0.0093971,           0.0093971,           0.0093971
51,            0.055082,            0.045019,                   0,             0.87067,             0.65313,              0.7251,              0.3886,            0.049544,            0.042395,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.054896,            0.044783,                   0,             0.86102,             0.65976,              0.7256,             0.39044,            0.049471,            0.042248,                   0,           0.0091071,           0.0091071,           0.0091071
                  53,             0.05444,            0.045213,                   0,             0.87853,             0.65186,             0.72692,             0.39018,            0.049432,             0.04219,                   0,            0.009073,            0.009073,            0.009073
                  54,              0.0552,            0.045178,                   0,              0.8747,             0.65472,             0.72809,             0.39073,             0.04937,            0.042174,                   0,           0.0090383,           0.0090383,           0.0090383
                  55,            0.055413,            0.045609,                   0,             0.87879,             0.65396,             0.72874,             0.39233,            0.049309,            0.042151,                   0,           0.0090031,           0.0090031,           0.0090031
                  56,            0.055086,            0.045565,                   0,             0.87235,             0.65822,             0.72918,             0.39313,            0.049231,            0.042068,                   0,           0.0089673,           0.0089673,           0.0089673
                  57,            0.054367,            0.045754,                   0,             0.87133,             0.66037,              0.7304,             0.39352,            0.049192,            0.042077,                   0,            0.008931,            0.008931,            0.008931
                  58,            0.054905,            0.045668,                   0,             0.87204,             0.66021,             0.73059,             0.39345,            0.049176,             0.04206,                   0,           0.0088941,           0.0088941,           0.0088941
                  59,            0.054601,            0.045216,                   0,             0.87303,             0.65974,             0.73146,             0.39434,            0.049111,            0.042042,                   0,           0.0088567,           0.0088567,           0.0088567
                  60,            0.054496,             0.04493,                   0,             0.86731,             0.66216,             0.73052,             0.39358,            0.049093,            0.042151,                   0,           0.0088188,           0.0088188,           0.0088188
                  61,            0.054246,            0.044365,                   0,             0.85713,             0.66914,             0.73191,             0.39469,             0.04904,            0.042112,                   0,           0.0087804,           0.0087804,           0.0087804
                  62,            0.054438,            0.045151,                   0,             0.87757,             0.65837,             0.73246,             0.39546,            0.049013,            0.042073,                   0,           0.0087414,           0.0087414,           0.0087414
